latitude,longitude,restaurant_id,district_id,city_id,name,street_address,area_address,district_address,region_address,category,cuisine,audience,average_rating,position_rating,price_rating,quality_rating,service_rating,space_rating,review_count,review_excellent_count,review_good_count,review_average_count,review_bad_count,view_count,like_count,checked_in_count,favourite_count,wanted_count,picture_count,status,time_clock,price_range,url
10.7612433000000,106.6443706000000,735428,13,217,Kim Ngọc - Quán Ăn Hải Sản,583 Minh Phụng,Khu vực Đầm Sen ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",,--,--,--,--,--,0,,,,,372,0,0,0,2,10,Đang mở cửa,00:05-02:00|10:00-23:59,20.000đ - 300.000đ,http://www.foody.vn/ho-chi-minh/kim-ngoc-quan-an-hai-san
10.7588816705602,106.6411509364843,894533,13,217,Quán Nhậu Bình Dân - Lạc Long Quân,"11W Lạc Long Quân, P. 5",Khu vực Bình Thới ,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",,--,--,--,--,--,0,,,,,87,0,0,0,0,1,Đang mở cửa,08:00-22:00,20.000đ - 100.000đ,http://www.foody.vn/ho-chi-minh/quan-nhau-binh-dan-lac-long-quan
10.7621811000000,106.6447096000000,854466,13,217,Ốc 498 - Minh Phụng,"498 Minh Phụng, P. 9",Khu vực Đầm Sen ,Quận 11,TP. HCM,Quán nhậu,,"Gia đình, Nhóm hội, Giới văn phòng",,--,--,--,--,--,0,,,,,195,0,0,0,0,1,Đang mở cửa,17:00-23:59,12.000đ - 100.000đ,http://www.foody.vn/ho-chi-minh/oc-498-minh-phung
10.7581147999947,106.6380300000017,1064964,13,217,Quán Nhậu - Hải Sản Hoa Anh Đào,"129/4 Lạc Long Quân, P. 1",,Quận 11,TP. HCM,Quán nhậu,Món Việt,"Cặp đôi, Gia đình, Nhóm hội",,--,--,--,--,--,0,,,,,46,0,0,0,0,0,Đang mở cửa,14:00-23:30,39.000đ - 149.000đ,http://www.foody.vn/ho-chi-minh/quan-nhau-hai-san-hoa-anh-dao
10.7623478000000,106.6457731000000,1000022619,13,217,MỒI - Món Ăn & Món Nhậu - Đội Cung,"03 Chung Cư Quân Đội Đội Cung, P.9",,Quận 11,TP. HCM,Quán ăn ,Món Miền Nam,"Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",,--,--,--,--,--,0,,,,,99,0,0,0,0,0,Đang mở cửa,11:00-21:00,Đang cập nhật,http://www.foody.vn/ho-chi-minh/moi-mon-an-mon-nhau-doi-cung.31cubp
10.7591400000000,106.6536630000000,1000031979,13,217,QUÁN 12 CHAI - Khổ Qua Cà Ớt - Tạ Uyên,"144 Tạ Uyên, P. 6",,Quận 11,TP. HCM,Quán ăn ,"Món Trung Hoa, Món Miền Nam","Sinh viên, Cặp đôi, Gia đình, Nhóm hội",,--,--,--,--,--,0,,,,,122,0,0,0,1,0,Đang mở cửa,16:00-23:00,Đang cập nhật,http://www.foody.vn/ho-chi-minh/quan-12-chai-kho-qua-ca-ot-ta-uyen.jexuqs
10.7728220000000,106.6573140000000,1000023147,13,217,Ý Như - Bún Bò - Thiên Phước,"299/2/59 Lý Thường Kiệt, P. 15",,Quận 11,TP. HCM,Quán ăn ,"Món Bắc, Món Á, Món Âu, Món Miền Trung, Món Miền Nam","Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Trẻ em",,--,--,--,--,--,0,,,,,91,0,0,0,0,0,Đang mở cửa,06:30-21:30,Đang cập nhật,http://www.foody.vn/ho-chi-minh/y-nhu-bun-bo-thien-phuoc.fm4vsr
10.7573150000000,106.6449420000000,1000048181,13,217,Quán Nướng Thanh Hiền - Nướng & Nhậu - Hàn Hải Nguyên,"259/38 Hàn Hải Nguyên, P. 2",,Quận 11,TP. HCM,Quán nhậu,,,,--,--,--,--,--,0,,,,,22,0,0,0,0,0,Đang mở cửa,16:00-22:00,Đang cập nhật,http://www.foody.vn/ho-chi-minh/quan-nuong-thanh-hien-nuong-nhau-han-hai-nguyen.1vrvkk
10.7724753000000,106.6543168000000,1000052015,13,217,KoChi - Sữa Chua Nếp Cẩm - Đường Số 52,"6/15 i1  Đường Số 52, P. 15",,Quận 11,TP. HCM,Quán nhậu,"Món Bắc, Món Miền Nam","Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",,--,--,--,--,--,0,,,,,10,0,0,0,0,0,Đang mở cửa,09:00-22:00,Đang cập nhật,http://www.foody.vn/ho-chi-minh/kochi-sua-chua-nep-cam-duong-so-52.s6l1go
10.8573410000000,106.6249220000000,269166,14,217,Tiệc Vip Trọn Gói - Đông Bắc,"18/36 Đông Bắc, P. Tân Chánh Hiệp",Khu vực CV Phần Mềm Quang Trung ,Quận 12,TP. HCM,Tiệc tận nơi,Món Việt,"Sinh viên, Nhóm hội, Giới văn phòng",,--,--,--,--,--,0,,,,,106,0,1,0,0,0,Đang mở cửa,08:00-22:00,500.000đ - 3.000.000đ,http://www.foody.vn/ho-chi-minh/tiec-vip-tron-goi-dong-bac
10.8381603000000,106.6185207000000,1000027259,14,217,The  Power Coffee Trường Chinh - Cà Phê - Trường Chinh,"590  Trường Chinh, P. Tân Hưng Thuận",,Quận 12,TP. HCM,Café/Dessert ,"Món Việt, Món Âu","Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",,--,--,--,--,--,0,,,,,56,0,0,0,0,0,Đang mở cửa,09:00-22:00,Đang cập nhật,http://www.foody.vn/ho-chi-minh/the-power-coffee-truong-chinh-ca-phe-truong-chinh.jurrpf
